cliente_id,edad,ciudad,producto,meses_activo,compras_totales,ingreso_total,soporte_tickets,medio_pago,churn,segmento_antiguedad,grupo_edad,prob_churn,riesgo
36,61,Cordoba,Telefonia,17,49,126759.0,5,Tarjeta,0,12-24 meses,60+,0.3701769787982403,Medio
37,42,Rosario,Internet,35,21,422567.0,3,Transferencia,0,24+ meses,30-45,0.45199746166250576,Medio
38,66,Buenos aires,Tv,11,46,298125.0,12,Efectivo,0,6-12 meses,60+,0.3027554721373308,Medio
39,44,Rosario,Internet,21,44,341047.0,12,Efectivo,1,12-24 meses,30-45,0.34604484863370144,Medio
40,76,Buenos aires,Tv,26,21,337965.0,14,Tarjeta,0,24+ meses,60+,0.11992844466596314,Bajo
41,59,Rosario,Telefonia,4,44,376344.0,9,Tarjeta,1,0-6 meses,45-60,0.7709564266130192,Alto
43,77,Cordoba,Telefonia,18,39,121506.0,0,Transferencia,1,12-24 meses,60+,0.8149544462766908,Alto
44,33,Mendoza,Tv,40,4,482237.0,3,Tarjeta,1,24+ meses,30-45,0.8916680457111874,Alto
45,32,Rosario,Tv,35,1,83513.0,3,Desconocido,0,24+ meses,30-45,0.29573865638595387,Bajo
46,79,Buenos aires,Desconocido,41,28,418090.0,12,Transferencia,0,24+ meses,60+,0.1475407430068647,Bajo
47,79,Buenos aires,Internet,29,24,187003.0,0,Tarjeta,0,24+ meses,60+,0.2202514683541499,Bajo
48,64,Cordoba,Telefonia,29,35,405890.0,5,Desconocido,0,24+ meses,60+,0.33271443869576134,Medio
49,79,Mendoza,Telefonia,38,13,317660.0,3,Desconocido,0,24+ meses,60+,0.257945687883294,Bajo
50,68,Desconocida,Desconocido,42,47,264480.0,0,Transferencia,0,24+ meses,60+,0.33191339946629667,Medio
51,61,Desconocida,Tv,21,34,267043.0,0,Desconocido,0,12-24 meses,60+,0.29525627903084106,Bajo
52,72,Cordoba,Tv,42,11,492790.0,14,Transferencia,0,24+ meses,60+,0.18796537271208322,Bajo
53,69,Cordoba,Internet,13,36,196758.0,12,Transferencia,0,12-24 meses,60+,0.12555080880153463,Bajo
54,74,Cordoba,Internet,41,17,493067.0,0,Transferencia,0,24+ meses,60+,0.2448663426982599,Bajo
55,20,Rosario,Internet,17,35,336356.0,7,Efectivo,0,12-24 meses,18-30,0.19995615331375086,Bajo
56,54,Rosario,Desconocido,9,18,138498.0,9,Desconocido,0,6-12 meses,45-60,0.3410943854909227,Medio
57,68,Rosario,Tv,41,40,259024.0,7,Transferencia,0,24+ meses,60+,0.5310379862475981,Medio
58,24,Rosario,Tv,1,22,275628.0,1,Tarjeta,0,0-6 meses,18-30,0.21615943337848595,Bajo
59,38,Cordoba,Telefonia,2,24,95009.0,10,Efectivo,1,0-6 meses,30-45,0.6571779391092791,Alto
60,26,Mendoza,Internet,29,19,204570.0,12,Efectivo,0,24+ meses,18-30,0.4068702209447342,Medio
61,56,Buenos aires,Telefonia,33,37,428159.0,6,Desconocido,0,24+ meses,45-60,0.3343344911298097,Medio
62,35,Rosario,Telefonia,10,39,202467.0,13,Transferencia,0,6-12 meses,30-45,0.17730893559426497,Bajo
63,21,Mendoza,Internet,40,21,49816.0,7,Desconocido,1,24+ meses,18-30,0.759130368917329,Alto
64,42,Cordoba,Tv,21,8,9138.0,7,Efectivo,1,12-24 meses,30-45,0.7816171971164598,Alto
65,77,Rosario,Internet,28,28,498944.0,10,Transferencia,1,24+ meses,60+,0.6821980183158816,Alto
66,31,Rosario,Telefonia,11,5,96176.0,9,Tarjeta,0,6-12 meses,30-45,0.2981252422906962,Bajo
67,67,Rosario,Internet,34,17,275628.0,14,Transferencia,0,24+ meses,60+,0.5872399516454481,Medio
68,75,Buenos aires,Tv,8,37,271161.0,10,Efectivo,0,6-12 meses,60+,0.23836211284272119,Bajo
69,26,Buenos aires,Internet,22,36,277595.0,12,Tarjeta,0,12-24 meses,18-30,0.35219227518337226,Medio
70,43,Desconocida,Tv,8,19,199028.0,6,Transferencia,1,6-12 meses,30-45,0.5382378909690929,Medio
71,70,Desconocida,Internet,15,27,361007.0,4,Tarjeta,0,12-24 meses,60+,0.3746198440989242,Medio
72,19,Desconocida,Internet,17,34,277422.0,0,Tarjeta,1,12-24 meses,18-30,0.7260113344922242,Alto
73,37,Desconocida,Tv,23,11,275628.0,11,Efectivo,0,12-24 meses,30-45,0.2289502020441887,Bajo
74,45,Cordoba,Telefonia,24,45,48764.0,8,Tarjeta,1,12-24 meses,30-45,0.852841007088027,Alto
75,64,Cordoba,Telefonia,45,47,128030.0,12,Desconocido,0,24+ meses,60+,0.2566453405018365,Bajo
76,77,Rosario,Tv,19,12,399350.0,6,Efectivo,0,12-24 meses,60+,0.2513741537902007,Bajo
77,24,Cordoba,Internet,5,21,330087.0,1,Desconocido,0,0-6 meses,18-30,0.17786972427337516,Bajo
78,61,Rosario,Desconocido,32,11,100667.0,5,Tarjeta,0,24+ meses,60+,0.18570795391236708,Bajo
79,78,Rosario,Telefonia,44,39,321462.0,1,Desconocido,0,24+ meses,60+,0.2922159810444873,Bajo
80,25,Desconocida,Tv,1,28,370567.0,14,Transferencia,1,0-6 meses,18-30,0.38430658143464136,Medio
81,64,Rosario,Tv,23,5,371142.0,0,Tarjeta,0,12-24 meses,60+,0.33445080651024156,Medio
82,52,Mendoza,Tv,37,17,65128.0,13,Transferencia,0,24+ meses,45-60,0.5515232368607625,Medio
83,31,Cordoba,Desconocido,8,20,224128.0,6,Desconocido,0,6-12 meses,30-45,0.1607073934558872,Bajo
84,34,Rosario,Tv,13,41,289013.0,12,Transferencia,0,12-24 meses,30-45,0.4502757587805112,Medio
85,53,Cordoba,Internet,8,46,238540.0,1,Tarjeta,1,6-12 meses,45-60,0.4801032925596831,Medio
86,67,Cordoba,Tv,23,12,10039.0,12,Transferencia,1,12-24 meses,60+,0.7345426622739805,Alto
87,57,Cordoba,Internet,43,6,157353.0,13,Desconocido,1,24+ meses,45-60,0.4920199448596448,Medio
88,21,Rosario,Tv,1,17,117935.0,13,Desconocido,1,0-6 meses,18-30,0.6280546055196707,Alto
89,19,Desconocida,Tv,45,19,15442.0,1,Desconocido,1,24+ meses,18-30,0.4219627603254403,Medio
90,79,Rosario,Internet,24,26,340932.0,12,Tarjeta,0,12-24 meses,60+,0.31217737997991546,Medio
91,23,Rosario,Tv,35,48,386873.0,10,Desconocido,1,24+ meses,18-30,0.4581738893845126,Medio
92,71,Desconocida,Tv,24,44,294730.0,4,Tarjeta,0,12-24 meses,60+,0.47264981105860465,Medio
93,59,Cordoba,Desconocido,17,44,58053.0,13,Transferencia,0,12-24 meses,45-60,0.17807681780663515,Bajo
94,21,Mendoza,Tv,5,32,186561.0,4,Desconocido,0,0-6 meses,18-30,0.17387165987430053,Bajo
95,71,Buenos aires,Telefonia,20,6,219176.0,6,Transferencia,1,12-24 meses,60+,0.5347345741415079,Medio
96,46,Rosario,Tv,21,36,91346.0,0,Efectivo,1,12-24 meses,45-60,0.4586966152579637,Medio
97,35,Buenos aires,Telefonia,40,38,334231.0,7,Transferencia,0,24+ meses,30-45,0.3233797181578241,Medio
98,43,Desconocida,Tv,31,11,410841.0,2,Efectivo,1,24+ meses,30-45,0.7498013358711512,Alto
99,61,Mendoza,Telefonia,46,33,39397.0,3,Transferencia,1,24+ meses,60+,0.8286515624447672,Alto
100,51,Rosario,Tv,36,24,325815.0,14,Tarjeta,0,24+ meses,45-60,0.18587185991640529,Bajo
101,27,Desconocida,Tv,11,23,121214.0,8,Transferencia,0,6-12 meses,18-30,0.5097933257811161,Medio
102,79,Cordoba,Internet,15,15,490001.0,3,Tarjeta,1,12-24 meses,60+,0.3804860784637025,Medio
103,53,Rosario,Desconocido,19,27,334041.0,9,Tarjeta,0,12-24 meses,45-60,0.256370667851733,Bajo
104,31,Buenos aires,Telefonia,7,11,162221.0,11,Desconocido,0,6-12 meses,30-45,0.19222277152063424,Bajo
105,48,Cordoba,Internet,28,17,458246.0,14,Tarjeta,0,24+ meses,45-60,0.14046074344674422,Bajo
106,65,Cordoba,Internet,43,14,468122.0,4,Efectivo,0,24+ meses,60+,0.2660139170352583,Bajo
107,32,Mendoza,Telefonia,5,27,403499.0,6,Desconocido,1,0-6 meses,30-45,0.19286211584468163,Bajo
108,25,Cordoba,Telefonia,5,18,405826.0,3,Desconocido,0,0-6 meses,18-30,0.0596809453642187,Bajo
109,31,Buenos aires,Internet,30,28,441542.0,13,Transferencia,1,24+ meses,30-45,0.7123365273339379,Alto
110,40,Cordoba,Tv,32,47,282068.0,0,Tarjeta,1,24+ meses,30-45,0.620656198303521,Alto
111,77,Buenos aires,Telefonia,8,47,118143.0,8,Tarjeta,1,6-12 meses,60+,0.6977925696422289,Alto
112,74,Mendoza,Tv,10,4,377397.0,3,Efectivo,0,6-12 meses,60+,0.49359780302216616,Medio
113,79,Mendoza,Internet,38,7,474378.0,8,Transferencia,0,24+ meses,60+,0.4934193749165987,Medio
114,57,Cordoba,Tv,47,45,367441.0,5,Transferencia,0,24+ meses,45-60,0.23918893291171625,Bajo
115,38,Cordoba,Tv,32,35,268013.0,14,Desconocido,0,24+ meses,30-45,0.20321265864760743,Bajo
116,33,Rosario,Internet,28,48,364232.0,0,Desconocido,1,24+ meses,30-45,0.4162879610829204,Medio
117,62,Cordoba,Telefonia,17,9,268158.0,11,Desconocido,0,12-24 meses,60+,0.2766959077942207,Bajo
118,35,Cordoba,Desconocido,31,8,15103.0,2,Efectivo,0,24+ meses,30-45,0.2483452030573186,Bajo
119,64,Cordoba,Internet,8,45,480738.0,10,Efectivo,0,6-12 meses,60+,0.43451866662466143,Medio
120,70,Rosario,Tv,40,17,377461.0,1,Desconocido,1,24+ meses,60+,0.2337642688664562,Bajo
121,41,Rosario,Telefonia,25,17,494223.0,8,Transferencia,1,24+ meses,30-45,0.5399709737737579,Medio
122,43,Rosario,Tv,9,49,431674.0,14,Efectivo,0,6-12 meses,30-45,0.25961773955752976,Bajo
123,42,Rosario,Tv,2,33,488821.0,11,Transferencia,1,0-6 meses,30-45,0.4101617635488738,Medio
124,77,Rosario,Internet,15,32,87409.0,0,Transferencia,0,12-24 meses,60+,0.3873201037333898,Medio
125,77,Desconocida,Telefonia,3,8,275628.0,12,Tarjeta,0,0-6 meses,60+,0.4094419873212443,Medio
126,77,Buenos aires,Tv,36,19,487376.0,13,Desconocido,1,24+ meses,60+,0.283314113981346,Bajo
127,62,Desconocida,Tv,4,38,179588.0,8,Tarjeta,0,0-6 meses,60+,0.3337219409252701,Medio
128,58,Desconocida,Telefonia,14,3,427277.0,8,Desconocido,1,12-24 meses,45-60,0.2685947733632733,Bajo
129,46,Desconocida,Tv,41,5,275628.0,7,Desconocido,0,24+ meses,45-60,0.5139433361554222,Medio
130,32,Rosario,Desconocido,41,13,13024.0,7,Transferencia,0,24+ meses,30-45,0.29564308343996354,Bajo
131,62,Rosario,Tv,25,47,480430.0,10,Desconocido,1,24+ meses,60+,0.6813467322247875,Alto
132,18,Mendoza,Internet,10,46,239864.0,13,Transferencia,0,6-12 meses,,0.22279258883625996,Bajo
133,42,Mendoza,Tv,21,31,353091.0,11,Transferencia,1,12-24 meses,30-45,0.8131042886414953,Alto
134,24,Buenos aires,Desconocido,36,16,179875.0,0,Desconocido,1,24+ meses,18-30,0.6063829221671813,Alto
135,26,Rosario,Tv,12,32,417512.0,10,Transferencia,0,6-12 meses,18-30,0.42359554334077965,Medio
136,41,Rosario,Tv,27,22,358973.0,7,Transferencia,0,24+ meses,30-45,0.439296189098871,Medio
137,18,Rosario,Internet,40,29,359852.0,9,Transferencia,0,24+ meses,,0.27116184220707074,Bajo
138,61,Cordoba,Tv,2,22,353808.0,13,Efectivo,0,0-6 meses,60+,0.16427312738568178,Bajo
139,25,Cordoba,Tv,13,43,416473.0,2,Transferencia,0,12-24 meses,18-30,0.19111443694751673,Bajo
140,41,Cordoba,Desconocido,32,3,148927.0,10,Efectivo,0,24+ meses,30-45,0.20061467780675954,Bajo
141,28,Cordoba,Telefonia,31,10,90178.0,6,Efectivo,0,24+ meses,18-30,0.5305680245681296,Medio
142,68,Rosario,Internet,16,42,368265.0,10,Transferencia,0,12-24 meses,60+,0.3476445128044978,Medio
143,34,Rosario,Internet,32,21,287169.0,14,Transferencia,1,24+ meses,30-45,0.742321448474673,Alto
144,25,Cordoba,Internet,32,16,402674.0,0,Efectivo,1,24+ meses,18-30,0.3282645129786357,Medio
145,52,Cordoba,Tv,34,12,68610.0,0,Efectivo,1,24+ meses,45-60,0.8115629001766519,Alto
146,52,Cordoba,Internet,11,2,75843.0,9,Transferencia,0,6-12 meses,45-60,0.2547490147790667,Bajo
147,50,Mendoza,Tv,10,41,112237.0,12,Transferencia,1,6-12 meses,45-60,0.7888814995241337,Alto
148,76,Cordoba,Telefonia,15,24,482177.0,4,Desconocido,0,12-24 meses,60+,0.38244879525956466,Medio
149,22,Cordoba,Desconocido,17,35,185903.0,4,Efectivo,1,12-24 meses,18-30,0.5480717969625143,Medio
150,59,Rosario,Telefonia,40,30,179499.0,7,Efectivo,1,24+ meses,45-60,0.40061376356714157,Medio
151,56,Cordoba,Desconocido,18,30,492025.0,6,Desconocido,0,12-24 meses,45-60,0.23338996481220234,Bajo
152,75,Rosario,Tv,9,47,135299.0,7,Efectivo,0,6-12 meses,60+,0.49922659168882966,Medio
153,58,Buenos aires,Internet,25,35,436722.0,5,Tarjeta,1,24+ meses,45-60,0.5852025304824977,Medio
154,45,Cordoba,Tv,40,19,10668.0,5,Efectivo,1,24+ meses,30-45,0.8225569801725804,Alto
155,24,Buenos aires,Internet,14,8,227542.0,1,Desconocido,1,12-24 meses,18-30,0.42019135557410214,Medio
156,26,Mendoza,Internet,25,26,183267.0,5,Tarjeta,0,24+ meses,18-30,0.23942155772759732,Bajo
157,25,Cordoba,Desconocido,22,49,340377.0,4,Transferencia,0,12-24 meses,18-30,0.22663771460878146,Bajo
158,29,Rosario,Tv,30,40,160489.0,12,Desconocido,0,24+ meses,18-30,0.2516676737380567,Bajo
159,51,Cordoba,Tv,20,7,349126.0,2,Desconocido,1,12-24 meses,45-60,0.5186000115047065,Medio
160,50,Buenos aires,Desconocido,21,30,111133.0,5,Transferencia,0,12-24 meses,45-60,0.4166436725267527,Medio
161,65,Rosario,Internet,44,7,277895.0,7,Desconocido,1,24+ meses,60+,0.5948861381517271,Medio
162,72,Cordoba,Internet,32,3,313362.0,8,Efectivo,0,24+ meses,60+,0.22345085180150814,Bajo
163,40,Cordoba,Internet,46,1,393793.0,0,Transferencia,0,24+ meses,30-45,0.40374243946054633,Medio
164,79,Rosario,Tv,21,36,274496.0,2,Desconocido,0,12-24 meses,60+,0.2565440826980853,Bajo
165,41,Buenos aires,Internet,35,25,215124.0,2,Transferencia,1,24+ meses,30-45,0.5423129640869037,Medio
166,54,Cordoba,Telefonia,32,37,93835.0,10,Transferencia,0,24+ meses,45-60,0.3081056915392414,Medio
167,52,Buenos aires,Internet,30,1,102493.0,7,Transferencia,0,24+ meses,45-60,0.38749716169347004,Medio
168,61,Desconocida,Internet,39,15,296071.0,0,Tarjeta,0,24+ meses,60+,0.3516374707783712,Medio
169,57,Buenos aires,Desconocido,12,37,177166.0,4,Desconocido,0,6-12 meses,45-60,0.3497133832879394,Medio
170,39,Rosario,Internet,41,13,106948.0,2,Tarjeta,0,24+ meses,30-45,0.22985578313721708,Bajo
171,44,Desconocida,Tv,47,40,190194.0,1,Desconocido,1,24+ meses,30-45,0.6611462644670367,Alto
172,52,Rosario,Desconocido,18,8,34493.0,14,Efectivo,0,12-24 meses,45-60,0.07793868994172466,Bajo
173,18,Rosario,Internet,21,5,490463.0,7,Efectivo,0,12-24 meses,,0.23049621700893286,Bajo
174,52,Desconocida,Desconocido,13,9,471755.0,2,Efectivo,1,12-24 meses,45-60,0.6920675837688484,Alto
175,54,Cordoba,Tv,21,1,298851.0,6,Desconocido,1,12-24 meses,45-60,0.5492655556252225,Medio
176,64,Buenos aires,Telefonia,8,36,204886.0,11,Transferencia,0,6-12 meses,60+,0.20669034153943364,Bajo
177,31,Cordoba,Tv,46,35,143368.0,10,Transferencia,0,24+ meses,30-45,0.22013183639712713,Bajo
178,20,Mendoza,Tv,40,2,161470.0,0,Tarjeta,1,24+ meses,18-30,0.7805916843204076,Alto
179,18,Buenos aires,Desconocido,46,40,302986.0,5,Tarjeta,1,24+ meses,,0.6003842741000784,Alto
180,22,Buenos aires,Tv,7,23,18261.0,2,Efectivo,1,6-12 meses,18-30,0.22601388552020674,Bajo
181,43,Rosario,Internet,23,9,81709.0,7,Tarjeta,0,12-24 meses,30-45,0.31238777403861406,Medio
182,72,Cordoba,Internet,44,34,100985.0,5,Desconocido,0,24+ meses,60+,0.17386457734993294,Bajo
183,31,Mendoza,Telefonia,32,46,373760.0,11,Desconocido,1,24+ meses,30-45,0.6842782659657844,Alto
184,56,Desconocida,Telefonia,11,14,454920.0,1,Tarjeta,0,6-12 meses,45-60,0.24779165633333697,Bajo
185,44,Desconocida,Internet,22,4,334317.0,5,Tarjeta,0,12-24 meses,30-45,0.4720973014175634,Medio
186,26,Desconocida,Tv,22,30,298925.0,6,Tarjeta,1,12-24 meses,18-30,0.4557304968183521,Medio
187,32,Rosario,Internet,43,31,280796.0,4,Tarjeta,0,24+ meses,30-45,0.22362109993838197,Bajo
188,32,Rosario,Tv,25,38,272247.0,2,Efectivo,0,24+ meses,30-45,0.2042981590495163,Bajo
189,43,Cordoba,Telefonia,22,11,292644.0,3,Efectivo,0,12-24 meses,30-45,0.27170511534767816,Bajo
190,59,Mendoza,Internet,28,35,251404.0,3,Tarjeta,0,24+ meses,45-60,0.17543615978662214,Bajo
191,77,Desconocida,Desconocido,29,8,105336.0,5,Desconocido,0,24+ meses,60+,0.21669771719720732,Bajo
192,30,Rosario,Telefonia,13,3,433745.0,9,Efectivo,1,12-24 meses,18-30,0.5406404097058427,Medio
193,68,Cordoba,Telefonia,18,14,118499.0,0,Desconocido,0,12-24 meses,60+,0.3853213142790271,Medio
194,49,Cordoba,Tv,2,13,154524.0,10,Transferencia,0,0-6 meses,45-60,0.23017144933405048,Bajo
195,56,Cordoba,Tv,29,45,316537.0,3,Desconocido,1,24+ meses,45-60,0.5169037355831761,Medio
196,66,Rosario,Tv,21,32,429390.0,9,Tarjeta,0,12-24 meses,60+,0.32579527640687095,Medio
197,69,Rosario,Desconocido,15,34,462666.0,12,Transferencia,0,12-24 meses,60+,0.19761051357860396,Bajo
198,78,Rosario,Tv,27,45,171508.0,3,Efectivo,1,24+ meses,60+,0.763372131128328,Alto
199,49,Desconocida,Tv,31,19,314550.0,9,Efectivo,1,24+ meses,45-60,0.6486206828204039,Alto
200,21,Rosario,Internet,15,38,330203.0,0,Transferencia,0,12-24 meses,18-30,0.32758207416669033,Medio
201,47,Desconocida,Internet,23,16,152026.0,8,Desconocido,1,12-24 meses,45-60,0.3055752774845268,Medio
202,54,Desconocida,Telefonia,24,2,349866.0,3,Efectivo,0,12-24 meses,45-60,0.14749640209796522,Bajo
203,40,Rosario,Tv,44,40,255819.0,6,Tarjeta,1,24+ meses,30-45,0.6346399438014277,Alto
204,56,Rosario,Internet,13,17,17356.0,11,Transferencia,0,12-24 meses,45-60,0.3366620516918654,Medio
205,62,Desconocida,Tv,22,34,133128.0,13,Tarjeta,1,12-24 meses,60+,0.3897467895483746,Medio
206,32,Mendoza,Tv,43,42,496715.0,2,Transferencia,0,24+ meses,30-45,0.5582847570348916,Medio
207,60,Cordoba,Telefonia,37,16,7187.0,9,Efectivo,0,24+ meses,45-60,0.25126634748975474,Bajo
208,46,Cordoba,Internet,33,38,344387.0,11,Desconocido,0,24+ meses,45-60,0.2684244202201014,Bajo
209,53,Cordoba,Tv,3,2,302242.0,2,Transferencia,0,0-6 meses,45-60,0.20878266695100656,Bajo
210,30,Rosario,Desconocido,19,2,490687.0,13,Transferencia,1,12-24 meses,18-30,0.39414432565624524,Medio
211,49,Rosario,Internet,23,26,157297.0,7,Tarjeta,0,12-24 meses,45-60,0.2625184762821204,Bajo
212,24,Rosario,Desconocido,29,13,139678.0,7,Efectivo,0,24+ meses,18-30,0.20816696518779917,Bajo
213,76,Desconocida,Telefonia,30,47,324764.0,10,Tarjeta,0,24+ meses,60+,0.3372812997983343,Medio
214,68,Buenos aires,Telefonia,39,31,431044.0,11,Efectivo,0,24+ meses,60+,0.34354142626175266,Medio
215,39,Desconocida,Telefonia,44,34,131270.0,0,Tarjeta,1,24+ meses,30-45,0.6537427143610935,Alto
217,19,Mendoza,Desconocido,25,3,281531.0,1,Tarjeta,0,24+ meses,18-30,0.45593078801733933,Medio
218,59,Cordoba,Internet,37,8,336607.0,7,Desconocido,1,24+ meses,45-60,0.5325614794297775,Medio
219,62,Desconocida,Internet,47,23,470048.0,0,Efectivo,1,24+ meses,60+,0.7518773597790885,Alto
222,70,Desconocida,Tv,16,29,400807.0,7,Efectivo,1,12-24 meses,60+,0.4882254237745336,Medio
223,23,Rosario,Telefonia,8,39,246503.0,7,Desconocido,0,6-12 meses,18-30,0.263467527289715,Bajo
224,45,Cordoba,Internet,1,39,446732.0,1,Tarjeta,1,0-6 meses,30-45,0.4877304583963983,Medio
225,45,Rosario,Desconocido,44,1,358827.0,3,Transferencia,0,24+ meses,30-45,0.2812947496740756,Bajo
226,61,Mendoza,Telefonia,5,17,67061.0,5,Desconocido,0,0-6 meses,60+,0.4315705316282951,Medio
227,61,Buenos aires,Internet,3,41,240497.0,11,Efectivo,0,0-6 meses,60+,0.1840964495260607,Bajo
228,37,Buenos aires,Tv,1,30,464952.0,10,Efectivo,0,0-6 meses,30-45,0.14540852368828047,Bajo
229,47,Cordoba,Telefonia,4,13,86257.0,8,Desconocido,1,0-6 meses,45-60,0.723193407126163,Alto
230,79,Mendoza,Telefonia,40,21,66753.0,14,Tarjeta,0,24+ meses,60+,0.11820165945165945,Bajo
231,28,Buenos aires,Internet,35,19,351918.0,7,Tarjeta,0,24+ meses,18-30,0.26355014842580304,Bajo
232,75,Mendoza,Tv,32,19,409303.0,11,Transferencia,1,24+ meses,60+,0.32948252609969375,Medio
233,72,Cordoba,Internet,42,25,429032.0,14,Efectivo,0,24+ meses,60+,0.17813968780140121,Bajo
234,45,Rosario,Desconocido,34,22,28408.0,7,Desconocido,0,24+ meses,30-45,0.22177536149480326,Bajo
235,42,Buenos aires,Tv,43,31,129116.0,6,Tarjeta,1,24+ meses,30-45,0.49552617074626254,Medio
236,56,Cordoba,Tv,25,17,136208.0,13,Transferencia,1,24+ meses,45-60,0.6635012859810829,Alto
237,79,Cordoba,Telefonia,10,23,22413.0,12,Efectivo,0,6-12 meses,60+,0.26006606946026467,Bajo
238,50,Desconocida,Internet,21,32,118650.0,8,Efectivo,0,12-24 meses,45-60,0.23234906060854157,Bajo
239,18,Mendoza,Internet,46,10,64500.0,14,Transferencia,0,24+ meses,,0.4663237143603523,Medio
240,74,Desconocida,Internet,39,10,351658.0,1,Transferencia,0,24+ meses,60+,0.15268996021101036,Bajo
241,44,Rosario,Tv,27,36,61358.0,2,Tarjeta,0,24+ meses,30-45,0.36638994718023504,Medio
242,79,Cordoba,Internet,27,8,71197.0,9,Desconocido,0,24+ meses,60+,0.27301790927287495,Bajo
243,74,Desconocida,Telefonia,2,20,498992.0,7,Efectivo,0,0-6 meses,60+,0.1826988734090127,Bajo
244,69,Buenos aires,Internet,41,32,228861.0,13,Desconocido,0,24+ meses,60+,0.16222666828584714,Bajo
245,30,Mendoza,Desconocido,13,14,228492.0,5,Efectivo,0,12-24 meses,18-30,0.19310378275818926,Bajo
